date,temp,humidity,pressure,pm25,pm10
2023-07-15 18:10:05,103,18,996,70,71
2023-07-15 18:10:11,103,18,996,70,71
2023-07-15 18:10:16,103,17,996,70,71
2023-07-15 18:10:21,103,18,996,70,71
2023-07-15 18:10:26,103,18,996,70,71
2023-07-15 18:10:31,103,18,996,70,71
2023-07-15 18:10:36,103,18,996,69,70
2023-07-15 18:10:41,103,18,996,69,70
2023-07-15 18:10:47,103,18,996,69,70
2023-07-15 18:10:52,103,18,996,71,72
2023-07-15 18:10:57,103,18,996,71,72
2023-07-15 18:11:02,103,18,996,71,72
2023-07-15 18:11:07,103,18,996,70,70
2023-07-15 18:11:12,103,18,996,70,70
2023-07-15 18:11:17,103,18,996,70,70
2023-07-15 18:11:22,103,18,996,70,71
2023-07-15 18:11:27,103,18,996,70,71
2023-07-15 18:11:33,103,18,996,70,71
2023-07-15 18:11:38,103,18,996,69,70
2023-07-15 18:11:43,103,18,996,69,70
2023-07-15 18:11:48,103,18,996,69,70
2023-07-15 18:11:53,103,18,996,68,70
2023-07-15 18:11:58,103,18,996,68,70
2023-07-15 18:12:03,103,18,996,68,70
2023-07-15 18:12:08,103,18,996,68,70
2023-07-15 18:12:14,103,18,996,68,70
2023-07-15 18:12:19,103,18,996,68,70
2023-07-15 18:12:24,103,18,996,68,69
2023-07-15 18:12:29,103,18,996,68,69
2023-07-15 18:12:34,103,18,996,68,69
2023-07-15 18:12:39,103,18,996,68,70
2023-07-15 18:12:44,103,18,996,68,70
2023-07-15 18:12:49,103,18,996,68,70
2023-07-15 18:12:55,103,18,996,68,69
2023-07-15 18:13:00,103,18,996,68,69
2023-07-15 18:13:05,102,18,996,68,69
2023-07-15 18:13:10,102,18,996,67,69
2023-07-15 18:13:15,102,18,996,67,69
2023-07-15 18:13:20,103,18,996,67,69
2023-07-15 18:13:25,103,18,996,66,68
2023-07-15 18:13:30,103,18,996,66,68
2023-07-15 18:13:35,102,19,996,66,68
2023-07-15 18:13:41,102,18,996,67,69
2023-07-15 18:13:46,102,19,996,67,69
2023-07-15 18:13:51,102,19,996,67,69
2023-07-15 18:13:56,102,18,996,68,70
2023-07-15 18:14:01,102,19,996,68,70
2023-07-15 18:14:06,102,18,996,68,70
2023-07-15 18:14:11,102,19,996,68,71
2023-07-15 18:14:16,102,19,996,68,71
2023-07-15 18:14:21,102,19,996,68,71
2023-07-15 18:14:27,102,19,996,68,70
2023-07-15 18:14:32,103,18,996,68,70
2023-07-15 18:14:37,102,18,995,68,70
2023-07-15 18:14:42,102,18,995,69,71
2023-07-15 18:14:47,102,18,995,69,71
2023-07-15 18:14:52,102,18,995,69,71
2023-07-15 18:14:57,102,19,995,70,72
2023-07-15 18:15:03,102,19,995,70,72
2023-07-15 18:15:08,102,19,995,70,72
2023-07-15 18:15:13,102,19,995,69,71
2023-07-15 18:15:18,102,19,995,69,71
2023-07-15 18:15:23,102,18,995,69,71
2023-07-15 18:15:28,102,19,995,69,71
2023-07-15 18:15:33,102,19,995,69,71
2023-07-15 18:15:38,103,18,995,69,71
2023-07-15 18:15:44,102,19,995,69,70
2023-07-15 18:15:49,103,19,995,69,70
2023-07-15 18:15:54,103,19,995,69,70
2023-07-15 18:15:59,102,19,995,69,70
2023-07-15 18:16:04,102,19,995,69,70
2023-07-15 18:16:09,102,19,995,69,70
2023-07-15 18:16:14,102,19,995,68,69
2023-07-15 18:16:19,102,19,995,68,69
2023-07-15 18:16:24,102,19,995,68,69
2023-07-15 18:16:30,102,19,995,66,67
2023-07-15 18:16:35,102,19,995,66,67
2023-07-15 18:16:40,102,18,995,66,67
2023-07-15 18:16:45,102,18,995,67,67
2023-07-15 18:16:50,102,19,995,67,67
2023-07-15 18:16:55,102,19,995,67,67
2023-07-15 18:17:00,102,19,995,69,70
2023-07-15 18:17:05,102,19,995,69,70
2023-07-15 18:17:10,102,19,995,69,70
2023-07-15 18:17:15,102,19,995,68,69
2023-07-15 18:17:21,102,19,995,68,69
2023-07-15 18:17:26,102,19,995,69,70
2023-07-15 18:17:31,102,19,995,70,71
2023-07-15 18:17:36,102,19,995,69,70
2023-07-15 18:17:41,102,19,995,71,72
2023-07-15 18:17:46,102,19,995,71,72
2023-07-15 18:17:51,102,19,995,71,72
2023-07-15 18:17:57,102,19,995,70,71
2023-07-15 18:18:02,102,19,995,68,68
2023-07-15 18:18:07,102,19,995,70,70
2023-07-15 18:18:12,102,19,995,70,70
2023-07-15 18:18:17,102,19,995,70,70
2023-07-15 18:18:22,102,19,995,70,70
2023-07-15 18:18:27,102,19,995,70,70
2023-07-15 18:18:32,102,19,995,70,71
2023-07-15 18:18:37,102,19,995,70,71
2023-07-15 18:18:43,102,19,995,70,71
2023-07-15 18:18:48,102,19,995,71,72
2023-07-15 18:18:53,102,19,995,71,72
2023-07-15 18:18:58,102,19,995,71,72
2023-07-15 18:19:03,102,19,995,70,71
2023-07-15 18:19:08,102,19,995,70,71
2023-07-15 18:19:13,102,19,995,70,71
2023-07-15 18:19:18,102,19,995,70,71
2023-07-15 18:19:24,102,19,995,70,71
2023-07-15 18:19:29,102,19,995,70,71
2023-07-15 18:19:34,102,19,995,69,70
2023-07-15 18:19:39,102,19,995,69,70
2023-07-15 18:19:44,102,19,995,69,70
2023-07-15 18:19:49,102,19,995,70,71
2023-07-15 18:19:55,102,19,995,70,71
2023-07-15 18:20:00,102,19,995,70,71
2023-07-15 18:20:05,102,19,995,69,70
2023-07-15 18:20:10,101,19,995,69,70
2023-07-15 18:20:15,101,19,995,69,70
2023-07-15 18:20:20,101,19,995,68,70
2023-07-15 18:20:25,102,19,995,68,70
2023-07-15 18:20:30,102,19,995,68,70
2023-07-15 18:20:35,102,19,995,69,71
2023-07-15 18:20:41,102,19,995,69,71
2023-07-15 18:20:46,101,19,995,69,71
2023-07-15 18:20:51,102,19,995,68,69
2023-07-15 18:20:56,102,19,995,68,69
2023-07-15 18:21:01,102,19,995,68,69
2023-07-15 18:21:06,102,19,995,67,68
2023-07-15 18:21:11,102,19,995,67,68
2023-07-15 18:21:16,102,19,995,67,68
2023-07-15 18:21:21,102,19,995,67,68
2023-07-15 18:21:27,101,20,995,67,68
2023-07-15 18:21:32,101,20,995,67,68
2023-07-15 18:21:37,101,20,995,66,68
2023-07-15 18:21:42,101,20,995,66,68
2023-07-15 18:21:47,101,20,995,66,68
2023-07-15 18:21:52,101,20,995,68,70
2023-07-15 18:21:57,101,20,995,68,71
2023-07-15 18:22:03,101,20,995,69,71
2023-07-15 18:22:08,101,20,995,68,70
2023-07-15 18:22:13,101,20,995,68,69
2023-07-15 18:22:18,101,20,995,67,69
2023-07-15 18:22:23,101,20,995,66,68
2023-07-15 18:22:28,100,20,995,66,68
2023-07-15 18:22:33,101,20,995,68,70
2023-07-15 18:22:39,100,20,995,68,69
2023-07-15 18:22:44,100,20,995,66,66
2023-07-15 18:22:49,100,20,995,67,68
2023-07-15 18:22:54,100,20,995,65,67
2023-07-15 18:22:59,101,20,995,69,70
2023-07-15 18:23:04,101,20,995,69,72
2023-07-15 18:23:09,101,20,995,69,71
2023-07-15 18:23:14,101,20,995,69,71
2023-07-15 18:23:20,101,20,995,69,71
2023-07-15 18:23:25,101,20,995,71,73
2023-07-15 18:23:30,101,19,995,71,73
2023-07-15 18:23:35,101,19,995,71,73
2023-07-15 18:23:40,101,19,995,71,73
2023-07-15 18:23:45,101,19,995,71,73
2023-07-15 18:23:50,101,19,995,71,73
2023-07-15 18:23:55,101,19,995,69,71
2023-07-15 18:24:00,101,19,995,69,71
2023-07-15 18:24:06,101,19,995,69,71
2023-07-15 18:24:11,101,20,995,68,70
2023-07-15 18:24:16,101,20,995,68,70
2023-07-15 18:24:21,101,20,995,68,70
2023-07-15 18:24:26,101,20,995,71,72
2023-07-15 18:24:31,101,20,995,69,70
2023-07-15 18:24:36,101,21,995,71,73
2023-07-15 18:24:41,101,21,995,70,71
2023-07-15 18:24:47,101,20,995,69,69
2023-07-15 18:24:52,101,20,995,70,70
2023-07-15 18:24:57,101,20,995,69,70
2023-07-15 18:25:02,101,20,995,70,70
2023-07-15 18:25:07,101,20,995,69,70
2023-07-15 18:25:12,102,20,995,69,70
2023-07-15 18:25:17,102,20,995,68,68
2023-07-15 18:25:22,102,20,995,67,68
2023-07-15 18:25:27,102,19,995,66,67
2023-07-15 18:25:33,102,19,995,66,67
2023-07-15 18:25:38,102,19,995,66,67
2023-07-15 18:25:43,102,19,995,66,67
2023-07-15 18:25:48,102,19,995,66,67
2023-07-15 18:25:53,102,19,995,66,67
2023-07-15 18:25:58,102,20,995,67,70
2023-07-15 18:26:03,102,20,995,67,70
2023-07-15 18:26:09,102,20,995,67,70
2023-07-15 18:26:14,102,20,995,67,70
2023-07-15 18:26:19,102,20,995,67,70
2023-07-15 18:26:24,102,20,995,67,70
2023-07-15 18:26:29,102,20,995,67,69
2023-07-15 18:26:34,102,20,995,67,69
2023-07-15 18:26:40,102,20,995,67,69
2023-07-15 18:26:45,102,20,995,66,69
2023-07-15 18:26:50,102,20,995,66,69
2023-07-15 18:26:55,102,20,995,66,69
2023-07-15 18:27:00,102,20,995,67,70
